Brand Name,Product Name,Price,Operating System,Processor,Memory,Storage,Display,Graphics
HP,HP ZBook Firefly 14 inch G11 Mobile Workstation PC,$3049.00,Windows 11 Pro,Intel® Core™ Ultra 7 155H,32 GB RAM,1 TB SSD,14" WUXGA,NVIDIA® RTX™ A500 (4 GB),
HP,HP Spectre x360 2-in-1 Laptop 14-eu0010ca - Core™ Ultra 7  Black with Pen,$2389.99,Windows 11 Home,Intel® Core™ Ultra 7 155H,32 GB RAM,2 TB SSD,14" 3K OLED Touch screen  120 Hz  0.2 ms Response time,Intel® Arc™ Graphics,
HP,HP Spectre x360 2-in-1 Laptop 14-eu0000ca - Core™ Ultra 7  Blue with Pen,$2389.99,Windows 11 Home,Intel® Core™ Ultra 7 155H,32 GB RAM,2 TB SSD,14" 3K OLED Touch screen  120 Hz  0.2 ms Response time,Intel® Arc™ Graphics,
HP,HP Spectre x360 2-in-1 Laptop 14-eu0020ca - Core™ Ultra 7  Silver with Pen,$2349.99,Windows 11 Home,Intel® Core™ Ultra 7 155H,32 GB RAM,2 TB SSD,14" 3K OLED Touch screen  120 Hz  0.2 ms Response time,Intel® Arc™ Graphics,
HP,HP 15-fc0024ca Laptop with 12 months Microsoft 365 Personal & Wireless Mouse,$849.99,Windows 11 Home,AMD Ryzen™ 7 7730U,16 GB RAM,1 TB SSD,15.6" FHD,AMD Radeon™ Graphics,
HP,HP Spectre x360 2-in-1 Laptop 16-aa0000ca (Space Blue) - GeForce® RTX 4050,$2749.99,Windows 11 Home,Intel® Core™ Ultra 7 155H,16 GB RAM,1 TB SSD,16" 2.8K OLED Touch screen  120 Hz  0.2 ms Response time,NVIDIA® GeForce RTX™ 4050 (6 GB),
HP,HP Laptop 15-fd0020ca,$299.99,Windows 11 Home in S mode,Intel® N-series N100,4 GB RAM,128 GB UFS,15.6" FHD,Intel® UHD Graphics,
HP,HP Spectre x360 2-in-1 Laptop 14-eu0000ca - Core™ Ultra 7  Blue with Pen + HP 3 Year Pickup Return w/Accidental Damage Protection for Spectre Omen  Omnibook Ultra NB (RiskFree,$1999.98,Windows 11 Home,Intel® Core™ Ultra 7 155H,32 GB RAM,2 TB SSD,14" 3K OLED Touch screen  120 Hz  0.2 ms Response time,Intel® Arc™ Graphics,
HP,HP ProBook 460 16 inch G11 Notebook PC,$1449.00,Windows 11 Pro,Intel® Core™ Ultra 5 125U,16 GB RAM,512 GB SSD,16" WUXGA,Intel® Graphics,
HP,OMEN Transcend Laptop 16-u1000ca,$3429.99,Windows 11 Home,Intel® Core™ i9 14900HX,32 GB RAM,2 TB SSD,16" WQXGA OLED  240 Hz  0.2 ms Response time,NVIDIA® GeForce RTX™ 4070 (8 GB),
